Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"documentation.snosan.fr","https://github.com/snosan-tools","https://github.com/snosan-tools/documentation.snosan.fr","Documentation du jeu de données SECMAR pour le SNOSAN",false,"2018-07-11T08:49:23Z","2018-11-14T16:56:59Z","https://documentation.snosan.fr",0,0,"MIT License",0,"HTML"
"quizz.snosan.fr","https://github.com/snosan-tools","https://github.com/snosan-tools/quizz.snosan.fr","Site web proposant des quizzs sur la sécurité en mer",false,"2018-07-13T16:00:22Z","2018-11-05T09:37:12Z","https://quizz.snosan.fr",0,1,"MIT License",0,"JavaScript"
"avurnavs.snosan.fr","https://github.com/snosan-tools","https://github.com/snosan-tools/avurnavs.snosan.fr","Site web offrant une carte des AVURNAVs en France métropolitaine",false,"2018-07-31T12:59:03Z","2018-11-05T09:37:26Z","https://avurnavs.snosan.fr",1,0,"MIT License",0,"JavaScript"
"avurnavs-csv","https://github.com/snosan-tools","https://github.com/snosan-tools/avurnavs-csv","Extraction des AVURNAVs en France métropolitaine depuis une base de données",false,"2018-08-01T14:21:52Z","2018-11-12T13:16:53Z","",0,0,"MIT License",0,"Python"
"avurnavs-fichiers","https://github.com/snosan-tools","https://github.com/snosan-tools/avurnavs-fichiers","Historique des avis urgents aux navigateurs en France métropolitaine en CSV",false,"2018-08-01T15:29:37Z","2018-11-15T00:00:59Z","https://www.data.gouv.fr/fr/datasets/avis-urgents-aux-navigateurs-en-vigueur-en-eaux-francaises-metropolitaines/",0,0,"Other",0,
"outils.snosan.fr","https://github.com/snosan-tools","https://github.com/snosan-tools/outils.snosan.fr","Portail web référençant les outils du SNOSAN",false,"2018-09-14T09:20:17Z","2018-11-05T09:38:03Z","https://outils.snosan.fr",0,0,"MIT License",0,"HTML"
"secmar-documentation","https://github.com/snosan-tools","https://github.com/snosan-tools/secmar-documentation","Template VuePress pour la documentation du jeu de données SECMAR",false,"2018-09-15T18:45:31Z","2018-11-14T16:55:26Z",,0,0,"MIT License",0,"Vue"
"srr-mrcc-france","https://github.com/snosan-tools","https://github.com/snosan-tools/srr-mrcc-france","Fichiers KML des SRR des MRCC français",false,"2018-10-15T12:58:47Z","2018-11-01T19:11:13Z",,1,0,"MIT License",0,
