Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"signalement-ws","https://github.com/region-bretagne","https://github.com/region-bretagne/signalement-ws","Scripts serveurs utilisés par Sign'adresse",false,"2014-05-26T15:08:29Z","2014-09-09T13:07:20Z",,0,0,"GNU General Public License v3.0",0,"PHP"
"inventaire","https://github.com/region-bretagne","https://github.com/region-bretagne/inventaire","Interface web permettant de saisir des éléments de l'inventaire",false,"2014-09-24T07:43:44Z","2014-09-24T09:58:53Z",,0,0,"GNU General Public License v2.0",0,"CSS"
"viewer","https://github.com/region-bretagne","https://github.com/region-bretagne/viewer","viewer with ol3 & bootstrap",false,"2015-06-30T11:57:27Z","2015-06-30T14:11:05Z",,0,0,,0,"JavaScript"
"dd-portal","https://github.com/region-bretagne","https://github.com/region-bretagne/dd-portal","Portail interne avec cartes et tableaux de bord",false,"2017-04-06T10:27:50Z","2018-06-26T09:25:24Z",,0,0,"GNU General Public License v3.0",0,"HTML"
"mviewer-apps","https://github.com/region-bretagne","https://github.com/region-bretagne/mviewer-apps","MVIEWER APPS",false,"2017-04-06T14:18:15Z","2018-11-14T08:43:06Z",,0,0,"GNU General Public License v3.0",0,"CSS"
"territoire-portal","https://github.com/region-bretagne","https://github.com/region-bretagne/territoire-portal","territoire portal",false,"2017-04-07T14:59:09Z","2017-04-07T15:03:46Z",,0,0,"GNU General Public License v3.0",0,"HTML"
