Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"deleted-datasets-schema","https://github.com/etalab","https://github.com/etalab/deleted-datasets-schema","A schema specifying how to represent a dataset deleted from a hosting platform.",false,"2015-01-30T17:52:29Z","2018-01-22T18:45:38Z",,0,0,,1,
"ban-data","https://github.com/etalab","https://github.com/etalab/ban-data","Projet de suivi des données BAN et des scripts de traitements associés",false,"2015-03-19T09:33:15Z","2018-12-01T08:06:52Z",,17,4,,68,"Shell"
"geozones","https://github.com/etalab","https://github.com/etalab/geozones","Simple spatial/administrative referential",false,"2015-04-15T12:06:35Z","2018-09-17T15:50:23Z",,31,8,,10,"Python"
"GitLegistique.jl","https://github.com/etalab","https://github.com/etalab/GitLegistique.jl","Convert Git diffs of french law to legislative drafting",false,"2015-05-28T07:50:26Z","2018-11-27T09:33:41Z",,6,0,"Other",0,"Julia"
"codes-juridiques-francais","https://github.com/etalab","https://github.com/etalab/codes-juridiques-francais","Les codes juridiques français, issus de la base LEGI de la DILA, au format Git et Markdown",false,"2015-07-05T18:45:25Z","2018-11-27T09:55:51Z",,11,2,,2,
"lois-non-codifiees-et-reglements-francais","https://github.com/etalab","https://github.com/etalab/lois-non-codifiees-et-reglements-francais","Les lois non condifiées ainsi que les règlements français, issus de la base LEGI de la DILA, au format Git et Markdown",false,"2015-07-05T18:46:34Z","2018-11-27T09:52:02Z",,8,0,,0,
"plan-ogp-2015-2017","https://github.com/etalab","https://github.com/etalab/plan-ogp-2015-2017","Pour une action publique transparente et collaborative : plan d'action national pour la France 2015-2017",false,"2015-07-16T14:23:26Z","2018-01-22T18:46:11Z",,1,1,"Other",0,
"labels-and-roads","https://github.com/etalab","https://github.com/etalab/labels-and-roads","A minimalist CartoCSS style to display on top of satellite imagery to add labels and roads.",false,"2015-08-06T16:21:33Z","2018-01-22T18:46:14Z",,0,0,,0,"CartoCSS"
"cartocss-jurpol","https://github.com/etalab","https://github.com/etalab/cartocss-jurpol","Style CartoCSS pour le rendu de l'overlay Justice/Police",false,"2015-08-27T10:34:19Z","2018-01-22T18:46:18Z",,0,0,,0,"CartoCSS"
"utilery-recipe-jurpol","https://github.com/etalab","https://github.com/etalab/utilery-recipe-jurpol","Recette des tuiles vectorielles des couches Justice/Police pour utilery",false,"2015-08-27T12:45:24Z","2018-01-22T18:46:18Z",,1,0,,0,
"carto-map-jurpol","https://github.com/etalab","https://github.com/etalab/carto-map-jurpol","Site web minimal (leaflet) pour consulter la carte Justice/Police",false,"2015-08-27T13:48:23Z","2018-01-22T18:46:18Z",,0,0,,1,"JavaScript"
"utilery-recipe-ban","https://github.com/etalab","https://github.com/etalab/utilery-recipe-ban","Recette utilery pour les couches vectorielles issues de la BAN",false,"2015-08-29T13:01:09Z","2018-01-22T18:46:19Z",,0,0,,0,
"apicarto","https://github.com/etalab","https://github.com/etalab/apicarto","Faire appel à l'information géographique pour simplifier les démarches",false,"2015-11-19T15:10:38Z","2018-05-28T14:39:21Z","",8,6,,0,"JavaScript"
"inspire-wiki","https://github.com/etalab","https://github.com/etalab/inspire-wiki","Initiative Inspire du SGMAP",false,"2015-12-10T11:08:43Z","2018-01-22T18:46:38Z","",3,5,,0,
"HackFrancophonie","https://github.com/etalab","https://github.com/etalab/HackFrancophonie","Wiki et code de l'open data camp #HackFrancophonie réunissant +8 pays de la Francophonie (19 février 2016, Paris)",false,"2016-01-13T12:57:34Z","2018-01-22T18:46:44Z","https://www.etalab.gouv.fr/hackfrancophonie-un-open-data-camp-autour-des-donnees-ouvertes-par-les-pays-francophones",7,5,,0,"Shell"
"geologos","https://github.com/etalab","https://github.com/etalab/geologos","Extract logos from @etalab/geozones’ data for French towns",false,"2016-02-04T13:48:02Z","2018-01-22T18:46:48Z",,1,1,"MIT License",0,"Python"
"osem","https://github.com/etalab","https://github.com/etalab/osem","Open Source Event Manager. An event management tool tailored to Free and Open Source Software conferences.",true,"2016-03-16T08:15:08Z","2018-01-22T18:46:57Z","http://osem.io",1,2,"MIT License",0,"Ruby"
"api-urbanisme","https://github.com/etalab","https://github.com/etalab/api-urbanisme",,false,"2016-03-24T12:14:31Z","2018-01-22T18:46:59Z",,0,0,,0,"JavaScript"
"couverture-urbanisme","https://github.com/etalab","https://github.com/etalab/couverture-urbanisme",,false,"2016-04-07T16:20:25Z","2018-01-22T18:47:02Z",,0,0,,1,"JavaScript"
"monuments-historiques","https://github.com/etalab","https://github.com/etalab/monuments-historiques","Construction de référentiels liés aux Monuments Historiques classés ou inscrits",false,"2016-04-13T08:29:47Z","2018-01-22T18:47:03Z","",1,0,"GNU Affero General Public License v3.0",0,"JavaScript"
"collectivites.data.gouv.fr","https://github.com/etalab","https://github.com/etalab/collectivites.data.gouv.fr","Prototype d'un portail dédié aux collectivités (et plus)",false,"2016-05-09T13:26:01Z","2018-01-22T18:47:10Z",,0,1,,1,"CSS"
"api-communes","https://github.com/etalab","https://github.com/etalab/api-communes","Rechercher des communes et accéder à leurs informations de base",false,"2016-05-26T15:59:05Z","2018-12-13T12:42:06Z","https://api.gouv.fr/api/api-geo.html",29,6,"MIT License",24,"JavaScript"
"geoapi-doc","https://github.com/etalab","https://github.com/etalab/geoapi-doc","Documentation de l'API Géo",false,"2016-06-16T18:39:19Z","2018-01-22T18:47:20Z","https://geo.api.gouv.fr",1,4,,0,"JavaScript"
"cartes.data.gouv.fr","https://github.com/etalab","https://github.com/etalab/cartes.data.gouv.fr","Customization d'une instance uMap",false,"2016-06-24T09:01:36Z","2018-09-21T14:18:18Z","",1,0,,2,"HTML"
"geoapi","https://github.com/etalab","https://github.com/etalab/geoapi","Interrogez les référentiels géographiques plus facilement",false,"2016-06-28T20:34:45Z","2018-01-22T18:47:23Z","https://api.gouv.fr/api/geoapi.html",5,0,,5,
"geohisto","https://github.com/etalab","https://github.com/etalab/geohisto","Historic information for French regions, counties, overseas collectivities and towns based on INSEE and Wikipedia data, exported as (re)usable CSV files.",false,"2016-07-11T10:14:50Z","2018-07-10T06:39:20Z","",23,3,"Other",10,"Python"
"id.data.gouv.fr","https://github.com/etalab","https://github.com/etalab/id.data.gouv.fr","Django-based SSO *not* deployed on the corresponding domain *yet*",true,"2016-08-04T15:46:48Z","2018-04-13T11:22:04Z","",1,0,,13,"Python"
"geo.data.gouv.fr","https://github.com/etalab","https://github.com/etalab/geo.data.gouv.fr","Trouvez facilement les données géographiques dont vous avez besoin",false,"2016-09-01T12:51:35Z","2018-12-21T10:22:03Z","https://geo.data.gouv.fr",28,9,"MIT License",31,"JavaScript"
