Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"countries","https://github.com/polewebmaedi","https://github.com/polewebmaedi/countries","World countries in JSON, CSV, XML and Yaml. Any help is welcome!",true,"2015-02-08T11:51:04Z","2015-02-08T11:51:06Z","http://git.io/countries",0,0,"Other",0,"PHP"
"natural-earth-vector","https://github.com/polewebmaedi","https://github.com/polewebmaedi/natural-earth-vector","A global, public domain map dataset available at three scales and featuring tightly integrated vector and raster data.",true,"2015-02-08T12:57:43Z","2015-02-08T12:58:15Z","natural earth",0,0,"Other",0,"Makefile"
"MAEDI-Pays","https://github.com/polewebmaedi","https://github.com/polewebmaedi/MAEDI-Pays","Pays",false,"2015-03-03T14:56:45Z","2018-03-29T16:40:47Z",,0,0,,0,
"MAEDI-Capitales","https://github.com/polewebmaedi","https://github.com/polewebmaedi/MAEDI-Capitales","Capitales et autres villes importantes",false,"2015-03-05T13:40:00Z","2015-03-05T13:40:00Z",,0,0,,0,
