Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"TorPylle","https://github.com/cea-sec","https://github.com/cea-sec/TorPylle","A Python / Scapy implementation of the OR (TOR) protocol.",false,"2013-07-23T11:38:39Z","2019-01-06T12:09:34Z",,75,17,"GNU General Public License v2.0",0,"Python"
"Sibyl","https://github.com/cea-sec","https://github.com/cea-sec/Sibyl","A Miasm2 based function divination.",false,"2014-09-05T16:26:33Z","2019-01-09T07:22:19Z",,280,29,"GNU General Public License v3.0",6,"Python"
"ivre","https://github.com/cea-sec","https://github.com/cea-sec/ivre","Network recon framework.",false,"2014-09-12T13:34:56Z","2019-01-11T08:34:15Z","https://ivre.rocks/",1351,379,"GNU General Public License v3.0",20,"Python"
"miasm","https://github.com/cea-sec","https://github.com/cea-sec/miasm","Reverse engineering framework in Python",false,"2014-10-28T15:05:47Z","2019-01-11T09:15:12Z",,1594,268,"GNU General Public License v2.0",69,"Python"
"hairgap","https://github.com/cea-sec","https://github.com/cea-sec/hairgap","A set of tools to transfer data over a unidirectional network link (typically a network diode).",false,"2017-04-02T21:19:34Z","2019-01-07T14:32:12Z",,19,6,"GNU General Public License v3.0",0,"C"
