Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"vitam","https://github.com/ProgrammeVitam","https://github.com/ProgrammeVitam/vitam","Digital Archives Management System developped by French government/Programme interministériel archives numériques ; core system.",false,"2017-01-15T21:22:44Z","2018-11-08T11:02:37Z",,59,16,"Other",2,"Java"
"ProgrammeVitam.github.io","https://github.com/ProgrammeVitam","https://github.com/ProgrammeVitam/ProgrammeVitam.github.io","Programme Vitam static site/Site statique du Programme Vitam.",false,"2017-01-15T22:27:35Z","2018-11-13T13:13:42Z","",0,0,"Other",0,"HTML"
"generateur-seda","https://github.com/ProgrammeVitam","https://github.com/ProgrammeVitam/generateur-seda","Générateur semi-automatique de SIP contenant des bordereaux sous forme de fichiers XML, conformes au standard SEDA 2.0.",false,"2017-01-18T15:01:24Z","2018-08-20T13:28:20Z",,2,1,"Other",0,
"mailextract","https://github.com/ProgrammeVitam","https://github.com/ProgrammeVitam/mailextract","Outil d'extraction de boite de messagerie (imap(s), thunderbird, outlook .pst, .msg...) générant une hiérarchies de fichiers correspondant aux ArchiveUnits à créer (format pivot avec generator-seda)",false,"2018-01-29T09:43:59Z","2018-09-11T08:51:56Z",,3,0,"Other",0,"Java"
"vitam-itests","https://github.com/ProgrammeVitam","https://github.com/ProgrammeVitam/vitam-itests","Digital Archives Management System developped by French government/Programme interministériel archives numériques ; non regression tests.",false,"2018-03-27T10:29:26Z","2018-10-25T09:24:11Z",,0,0,,0,"Gherkin"
