Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"EnvironmentalSemanticWeb","https://github.com/INSIDE-information-systems","https://github.com/INSIDE-information-systems/EnvironmentalSemanticWeb","Semantic web in environmental information systems / Websémantique dans les SI environnementaux",false,"2018-06-29T07:40:06Z","2018-09-19T14:52:43Z","",0,1,,5,
"SensorThingsAPI","https://github.com/INSIDE-information-systems","https://github.com/INSIDE-information-systems/SensorThingsAPI","Implementation of OGC SensorThing API for Environmental Data / Implementation du standard OGC SensorThings API pour les données environnementales",false,"2018-07-02T15:00:43Z","2018-10-03T10:26:14Z",,2,0,,3,
"CO2emissions_email_plugin","https://github.com/INSIDE-information-systems","https://github.com/INSIDE-information-systems/CO2emissions_email_plugin","Email client plugin to calculate your email carbon footprint ",false,"2018-09-24T13:49:29Z","2018-11-07T06:09:01Z",,0,0,,0,"JavaScript"
"wfd2018","https://github.com/INSIDE-information-systems","https://github.com/INSIDE-information-systems/wfd2018","Testing tools suite deployed by French Agencies (MoE, Water Agencies, Water Offices) to support French 2018 WFD reporting",false,"2018-10-01T11:59:30Z","2018-11-12T10:17:17Z",,1,1,,0,
