Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"webnapperon2","https://github.com/erasme","https://github.com/erasme/webnapperon2",,false,"2014-07-08T08:51:14Z","2016-02-12T10:39:49Z",,1,0,,0,"JavaScript"
"androidwifidirect","https://github.com/erasme","https://github.com/erasme/androidwifidirect",,false,"2015-02-11T15:32:36Z","2015-02-11T15:40:25Z",,0,0,,0,"Java"
"ansible-rbenv","https://github.com/erasme","https://github.com/erasme/ansible-rbenv","rbenv Ansible playbook",false,"2015-02-18T10:02:49Z","2018-04-30T10:16:14Z",,17,7,,3,"Shell"
"ansible-ruby-compiled","https://github.com/erasme","https://github.com/erasme/ansible-ruby-compiled","Ansible playbook for compiling specific ruby versions",false,"2015-02-18T12:54:01Z","2015-08-12T06:00:28Z",,5,2,,0,"Shell"
"erasme-roles-specs","https://github.com/erasme","https://github.com/erasme/erasme-roles-specs","Specs for ERASME ansible roles",false,"2015-02-18T15:25:49Z","2015-03-06T10:12:34Z",,0,0,,0,"Shell"
"ansible-nginx","https://github.com/erasme","https://github.com/erasme/ansible-nginx","Ansible nginx role",false,"2015-02-25T14:47:24Z","2015-05-29T08:29:16Z",,1,3,,0,"Shell"
"ansible-php5-fpm","https://github.com/erasme","https://github.com/erasme/ansible-php5-fpm","php5-fpm Ansible role",false,"2015-02-26T12:50:00Z","2015-05-18T07:56:44Z",,1,1,,0,
"ansible-nodejs","https://github.com/erasme","https://github.com/erasme/ansible-nodejs",,false,"2015-03-02T11:25:25Z","2015-05-18T09:08:05Z",,1,1,,0,
"ansible-etherpad","https://github.com/erasme","https://github.com/erasme/ansible-etherpad","etherpad Ansible role",false,"2015-03-02T14:26:22Z","2015-03-02T14:26:22Z",,0,1,,0,
"ansible-simplesaml","https://github.com/erasme","https://github.com/erasme/ansible-simplesaml","SimpleSAML Ansible playbook",false,"2015-03-06T09:33:36Z","2015-03-06T09:33:36Z",,0,0,,0,
"ansible-laclasse-sso","https://github.com/erasme","https://github.com/erasme/ansible-laclasse-sso","laclasse-sso deployment playbook ",false,"2015-03-27T19:02:24Z","2015-03-27T19:02:43Z",,0,0,,0,"Nginx"
