Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"api_rva","https://github.com/sigrennesmetropole","https://github.com/sigrennesmetropole/api_rva","code source de l'api rva de Rennes Métropole",false,"2016-03-03T22:32:57Z","2016-03-03T22:32:57Z",,0,0,,1,
"addon_rva","https://github.com/sigrennesmetropole","https://github.com/sigrennesmetropole/addon_rva","Addon RVA pour mapfishapp - geOrchestra",false,"2016-03-04T14:33:19Z","2016-11-24T10:59:40Z","http://rva.data.rennes-metropole.fr/",1,1,,1,"JavaScript"
"addon_urbanisme","https://github.com/sigrennesmetropole","https://github.com/sigrennesmetropole/addon_urbanisme","Addon urbanisme pour le visualiseur de l'IDS geOrchestra",false,"2016-04-29T13:27:17Z","2017-06-02T07:47:51Z","http://www.georchestra.org",1,5,"GNU General Public License v3.0",3,"JavaScript"
"images","https://github.com/sigrennesmetropole","https://github.com/sigrennesmetropole/images","dépot d'images pour sites",false,"2016-05-17T13:41:46Z","2016-05-17T13:43:39Z","",0,0,,0,
"cadastrapp","https://github.com/sigrennesmetropole","https://github.com/sigrennesmetropole/cadastrapp","Cadastre application for geOrchestra",true,"2016-06-06T12:47:07Z","2018-05-02T11:37:55Z","",0,0,"GNU General Public License v3.0",0,"Java"
"rmtr","https://github.com/sigrennesmetropole","https://github.com/sigrennesmetropole/rmtr","module rmtr pour georchestra",false,"2016-09-06T07:24:19Z","2017-06-14T14:02:56Z","",1,0,,4,"JavaScript"
"photos_obliques","https://github.com/sigrennesmetropole","https://github.com/sigrennesmetropole/photos_obliques","dépot du module photo obliques pour geOrchestra",false,"2016-09-19T14:02:59Z","2018-07-02T13:32:46Z",,2,1,"GNU General Public License v3.0",8,"JavaScript"
"geoserver_sld","https://github.com/sigrennesmetropole","https://github.com/sigrennesmetropole/geoserver_sld","Styles appliqués sur les couches GeoServer",false,"2016-12-13T08:49:36Z","2018-11-08T10:26:43Z",,1,0,"GNU General Public License v3.0",0,"Scheme"
"visualiseur","https://github.com/sigrennesmetropole","https://github.com/sigrennesmetropole/visualiseur",,false,"2018-05-23T12:36:44Z","2018-07-19T08:31:48Z",,2,1,,63,
"mviewerstudio","https://github.com/sigrennesmetropole","https://github.com/sigrennesmetropole/mviewerstudio","mviewer generator",true,"2018-06-22T09:40:41Z","2018-06-22T11:25:12Z",,0,0,"GNU General Public License v3.0",0,"JavaScript"
