Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"wookey-project.github.io","https://github.com/wookey-project","https://github.com/wookey-project/wookey-project.github.io","The wookey-project documentation",false,"2018-09-25T10:12:41Z","2018-11-06T10:51:16Z",,0,0,,0,"HTML"
"manifest","https://github.com/wookey-project","https://github.com/wookey-project/manifest","The WooKey project manifest repository, use repo init -u https://github.com/wookey-project/manifest.git",false,"2018-09-25T21:15:47Z","2018-09-29T20:04:01Z","https://wookey-project.github.io/",1,0,,0,
"tataouine","https://github.com/wookey-project","https://github.com/wookey-project/tataouine","Wookey SDK",false,"2018-09-25T23:27:46Z","2018-11-06T10:36:40Z","https://wookey-project.github.io",0,0,"BSD 3-Clause ""New"" or ""Revised"" License",0,"Perl"
"bootloader","https://github.com/wookey-project","https://github.com/wookey-project/bootloader","Wookey bootloader",false,"2018-09-25T23:27:53Z","2018-09-25T23:27:59Z","https://wookey-project.github.io",0,0,"BSD 3-Clause ""New"" or ""Revised"" License",0,"C"
"libstd","https://github.com/wookey-project","https://github.com/wookey-project/libstd","EwoK Standard library",false,"2018-09-25T23:28:05Z","2018-11-06T09:57:48Z","https://wookey-project.github.io",0,0,,0,"C"
"board-32f407disco","https://github.com/wookey-project","https://github.com/wookey-project/board-32f407disco","STM32F407 Discovery board configurations",false,"2018-09-25T23:28:12Z","2018-09-25T23:28:17Z","https://wookey-project.github.io",0,0,,0,
"app-sample-button","https://github.com/wookey-project","https://github.com/wookey-project/app-sample-button","Sample button application",false,"2018-09-25T23:28:17Z","2018-11-06T10:11:03Z","https://wookey-project.github.io",0,0,,0,"C"
"app-sample-leds","https://github.com/wookey-project","https://github.com/wookey-project/app-sample-leds","Sample led application",false,"2018-09-25T23:28:22Z","2018-09-25T23:28:28Z","https://wookey-project.github.io",0,0,,0,"C"
"layout-stm32f407","https://github.com/wookey-project","https://github.com/wookey-project/layout-stm32f407","STM32F407 Discovery memory layout",false,"2018-09-25T23:28:27Z","2018-09-25T23:28:34Z","https://wookey-project.github.io",0,0,,0,
"libconsole","https://github.com/wookey-project","https://github.com/wookey-project/libconsole","userspace console abstraction based on USART driver",false,"2018-09-25T23:28:33Z","2018-09-25T23:28:39Z","https://wookey-project.github.io",0,0,,0,"C"
"driver-stm32f4xx-usart","https://github.com/wookey-project","https://github.com/wookey-project/driver-stm32f4xx-usart","USART driver for STM32F4xx SoC",false,"2018-09-25T23:28:38Z","2018-09-25T23:28:44Z","https://wookey-project.github.io",0,0,,0,"C"
"app-sample-blinky","https://github.com/wookey-project","https://github.com/wookey-project/app-sample-blinky","Blinky sample application",false,"2018-09-25T23:28:44Z","2018-11-06T10:08:56Z","https://wookey-project.github.io",0,0,,0,"C"
"ewok-kernel","https://github.com/wookey-project","https://github.com/wookey-project/ewok-kernel","EwoK micro-kernel repository",false,"2018-09-25T23:28:49Z","2018-11-07T07:50:36Z","https://wookey-project.github.io",20,2,"Apache License 2.0",0,"C"
"perms-matrix-disco407-samples","https://github.com/wookey-project","https://github.com/wookey-project/perms-matrix-disco407-samples","Application permissions matrix for various profiles",false,"2018-09-25T23:40:12Z","2018-09-25T23:40:18Z","https://wookey-project.github.io",0,0,,0,
"wookeypedia","https://github.com/wookey-project","https://github.com/wookey-project/wookeypedia","The Wookey Project and EwoK kernel documentation repository",false,"2018-09-28T14:30:55Z","2018-11-06T10:24:26Z",,0,0,,0,"HTML"
