Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"documentation","https://github.com/strasbourg","https://github.com/strasbourg/documentation","Strasbourg Open Data missing API",false,"2013-02-22T20:57:22Z","2017-03-12T09:46:53Z","http://strasbourg-data.fr/",5,2,,2,"Ruby"
"parkings-api","https://github.com/strasbourg","https://github.com/strasbourg/parkings-api",,false,"2013-03-22T09:14:18Z","2014-04-03T08:45:23Z",,0,1,,2,"CoffeeScript"
"velhop-api","https://github.com/strasbourg","https://github.com/strasbourg/velhop-api",,false,"2013-03-22T10:12:39Z","2018-05-31T17:37:38Z",,3,0,,0,"CoffeeScript"
"cts-api","https://github.com/strasbourg","https://github.com/strasbourg/cts-api",,false,"2013-03-28T15:24:21Z","2014-04-22T23:33:05Z",,0,0,,1,"Ruby"
"stats-api","https://github.com/strasbourg","https://github.com/strasbourg/stats-api","Usage logger",false,"2013-04-02T07:49:45Z","2013-11-04T02:22:02Z","",0,0,,0,"Go"
"strasbourgstartups","https://github.com/strasbourg","https://github.com/strasbourg/strasbourgstartups",,true,"2013-07-06T13:57:51Z","2013-07-06T13:57:51Z",,0,0,,0,"Ruby"
"curieux","https://github.com/strasbourg","https://github.com/strasbourg/curieux",,false,"2014-02-08T17:26:45Z","2014-02-08T17:26:45Z",,0,0,,0,
