Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"clustershell","https://github.com/cea-hpc","https://github.com/cea-hpc/clustershell","Scalable cluster administration Python framework — Manage node sets, node groups and execute commands on cluster nodes in parallel.",false,"2012-03-02T23:51:18Z","2018-11-13T08:57:53Z","http://cea-hpc.github.com/clustershell",239,54,,88,"Python"
"nfs-ganesha","https://github.com/cea-hpc","https://github.com/cea-hpc/nfs-ganesha","NFS-Ganesha, a NFSv2/NFSv3/NFSv4.x server in User Space",true,"2012-06-07T08:42:58Z","2018-05-25T14:18:47Z","http://nfs-ganesha.sf.net",5,0,,0,"C"
"robinhood","https://github.com/cea-hpc","https://github.com/cea-hpc/robinhood","Robinhood Policy Engine : a versatile tool to monitor filesystem contents and schedule actions on filesystem entries.",false,"2012-06-07T09:09:29Z","2018-11-12T00:02:21Z","http://robinhood.sf.net",100,36,"Other",27,"C"
"milkcheck","https://github.com/cea-hpc","https://github.com/cea-hpc/milkcheck","Highly parallel and flexible service manager.",false,"2013-03-19T09:29:01Z","2018-10-05T12:52:01Z","",14,3,"Other",18,"Python"
"bridge","https://github.com/cea-hpc","https://github.com/cea-hpc/bridge","Bridge CEA In-House Batch Environment gives a uniform way to access external Batch scheduling systems.",false,"2014-03-18T10:31:46Z","2017-09-16T18:23:10Z",,2,2,"GNU General Public License v3.0",1,"C"
"glost","https://github.com/cea-hpc","https://github.com/cea-hpc/glost","Greedy Launcher Of Small Tasks",false,"2014-09-09T14:36:30Z","2018-09-15T20:43:40Z",,3,1,"GNU General Public License v3.0",0,"C"
"lcap","https://github.com/cea-hpc","https://github.com/cea-hpc/lcap","Lustre Changelogs Aggregate & Publish",false,"2014-10-24T11:21:52Z","2018-01-13T14:44:20Z",,4,5,"GNU Lesser General Public License v3.0",1,"C"
"shine","https://github.com/cea-hpc","https://github.com/cea-hpc/shine","Lustre administration tool",false,"2015-03-30T16:44:59Z","2018-11-12T11:00:30Z","",11,4,"GNU General Public License v2.0",30,"Python"
"sshproxy","https://github.com/cea-hpc","https://github.com/cea-hpc/sshproxy","Proxy SSH connections on a gateway",false,"2015-12-15T08:06:30Z","2018-11-05T15:16:32Z",,13,2,"Other",2,"Go"
"mooshika","https://github.com/cea-hpc","https://github.com/cea-hpc/mooshika","RDMA abstraction layer",true,"2016-02-01T15:56:13Z","2018-06-15T01:17:21Z",,1,1,"GNU Lesser General Public License v3.0",1,"C"
"wi4mpi","https://github.com/cea-hpc","https://github.com/cea-hpc/wi4mpi","Wrapper interface for MPI",false,"2016-08-03T12:38:57Z","2018-08-07T10:02:58Z",,12,1,,2,"C"
"hp2p","https://github.com/cea-hpc","https://github.com/cea-hpc/hp2p","Heavy Peer To Peer: a MPI based benchmark for network diagnostic",false,"2017-02-15T13:54:08Z","2018-04-04T02:56:26Z","",8,0,"Other",1,"C++"
"selFIe","https://github.com/cea-hpc","https://github.com/cea-hpc/selFIe","Self and Light proFIling Engine - a very light profiling tools for Linux commands and HPC codes",false,"2017-02-15T13:56:58Z","2018-10-12T09:32:56Z","",7,4,"Other",1,"C"
"modules","https://github.com/cea-hpc","https://github.com/cea-hpc/modules","Environment Modules: provides dynamic modification of a user's environment",false,"2017-03-14T05:10:41Z","2018-11-15T00:37:04Z","http://modules.sourceforge.net/",108,23,"GNU General Public License v2.0",24,"Tcl"
"fleet","https://github.com/cea-hpc","https://github.com/cea-hpc/fleet","fleet ties together systemd and etcd into a distributed init system",true,"2017-07-06T14:55:15Z","2018-09-28T10:21:38Z","",0,0,"Apache License 2.0",0,"Go"
"pcocc","https://github.com/cea-hpc","https://github.com/cea-hpc/pcocc","Run VMs on an HPC cluster",false,"2017-09-18T13:42:32Z","2018-10-22T21:59:02Z","",13,3,"GNU General Public License v3.0",4,"Python"
"kvsns","https://github.com/cea-hpc","https://github.com/cea-hpc/kvsns","Implements a POSIX Name Space using the services of a Key-Value Store",false,"2018-05-25T13:54:07Z","2018-05-25T13:56:26Z",,0,0,,0,"Perl"
"sigmund","https://github.com/cea-hpc","https://github.com/cea-hpc/sigmund","A framework to ease filesystem's non-regression tests",false,"2018-05-25T13:58:03Z","2018-05-25T13:59:46Z",,0,0,,0,"Shell"
"space9","https://github.com/cea-hpc","https://github.com/cea-hpc/space9","A library implementing a simple 9p client in user space",false,"2018-05-25T14:23:55Z","2018-05-25T14:25:02Z",,0,0,"GNU Lesser General Public License v3.0",0,"C"
"NabLab","https://github.com/cea-hpc","https://github.com/cea-hpc/NabLab","Full-fledged industrial environment for scientific computing and High Performance Computing",false,"2018-07-20T14:43:48Z","2018-10-12T17:48:07Z","",0,0,"Other",0,"Java"
"krb5","https://github.com/cea-hpc","https://github.com/cea-hpc/krb5","mirror of MIT krb5 repository",true,"2018-09-26T13:25:39Z","2018-09-26T15:15:24Z",,0,0,,5,"C"
"heimdal","https://github.com/cea-hpc","https://github.com/cea-hpc/heimdal","Heimdal",true,"2018-10-02T12:17:02Z","2018-10-02T13:33:41Z","http://www.h5l.org/",0,0,"Other",0,"C"
