Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"Datea","https://github.com/nanterre","https://github.com/nanterre/Datea","django based civic engagement plattform",true,"2015-06-23T00:47:37Z","2015-06-23T00:47:44Z",,0,0,"Other",0,"HTML"
"Bienvenue","https://github.com/nanterre","https://github.com/nanterre/Bienvenue",,false,"2015-12-18T10:54:52Z","2016-03-20T23:14:24Z","participez.nanterre.fr",0,0,,0,
"opendata","https://github.com/nanterre","https://github.com/nanterre/opendata",,false,"2016-04-22T11:31:46Z","2016-11-18T17:55:54Z","https://participez.nanterre.fr",0,1,"Other",0,
"democracyos","https://github.com/nanterre","https://github.com/nanterre/democracyos","DemocracyOS is an online space for deliberation and voting on political proposals. The software aims to stimulate better arguments and come to better rulings.  ",true,"2016-05-17T14:48:47Z","2017-02-24T10:39:54Z","http://democracyos.org",1,0,"Other",0,"JavaScript"
"donnees-a-voir","https://github.com/nanterre","https://github.com/nanterre/donnees-a-voir","Documentation ""Données à voir"" La Terrasse Nanterre 2016",true,"2016-09-05T13:55:57Z","2016-09-02T12:45:00Z",,0,1,"GNU General Public License v3.0",0,
"nanterre.github.io","https://github.com/nanterre","https://github.com/nanterre/nanterre.github.io",,false,"2016-09-14T15:15:27Z","2016-09-14T15:25:31Z",,0,1,,0,"HTML"
"donneesavoir","https://github.com/nanterre","https://github.com/nanterre/donneesavoir",,true,"2016-09-28T16:47:27Z","2016-09-28T16:47:38Z",,0,0,"MIT License",0,"CSS"
