Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"simupaye","https://github.com/DGAC","https://github.com/DGAC/simupaye","Simulateur de salaire pour les agents de la DGAC.",false,"2017-01-03T20:26:10Z","2018-08-08T13:58:46Z","https://dgac.github.io/simupaye/",0,0,"GNU Affero General Public License v3.0",0,
"MattermostModule","https://github.com/DGAC","https://github.com/DGAC/MattermostModule","Mattermost Module for Zend Framework and Bootstrap",false,"2018-01-25T08:08:06Z","2018-05-16T07:38:35Z",,0,0,"GNU General Public License v3.0",6,"JavaScript"
"nmb2b-phpclient","https://github.com/DGAC","https://github.com/DGAC/nmb2b-phpclient","PHP Client for NM B2B Services",false,"2018-04-15T06:32:29Z","2018-05-24T14:13:42Z",,1,0,"GNU General Public License v3.0",0,"PHP"
"dgac.github.io","https://github.com/DGAC","https://github.com/DGAC/dgac.github.io",,false,"2018-08-14T14:22:51Z","2018-08-15T07:48:38Z",,0,0,,0,"HTML"
"nmb2b-client-js","https://github.com/DGAC","https://github.com/DGAC/nmb2b-client-js","NM B2B WebService client",false,"2018-09-07T11:49:42Z","2018-11-14T09:51:22Z",,1,0,"MIT License",8,"JavaScript"
"nmb2b-client-js-example","https://github.com/DGAC","https://github.com/DGAC/nmb2b-client-js-example","DGAC NM B2B Client usage example",false,"2018-09-08T10:25:27Z","2018-09-10T14:38:02Z",,0,0,"MIT License",0,"JavaScript"
