Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"bits_parser","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/bits_parser","Extract BITS jobs from QMGR queue and store them as CSV records",false,"2018-01-17T13:47:46Z","2018-10-05T15:36:41Z",,33,4,"MIT License",0,"Python"
"ASCAD","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/ASCAD","Side Channels Analysis and Deep Learning",false,"2018-01-19T10:04:55Z","2018-10-07T08:35:56Z",,15,6,,2,"Python"
"transdep","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/transdep","Discover SPOF in DNS dependency graphs",false,"2018-01-24T11:52:48Z","2018-05-06T10:31:24Z",,10,2,"BSD 2-Clause ""Simplified"" License",1,"Go"
"FreeSpec","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/FreeSpec","Modular Verification of Programs with Effects and Effect Handlers",false,"2018-01-26T16:34:46Z","2018-10-29T15:33:43Z","",19,2,"GNU General Public License v3.0",0,"Coq"
"libapn","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/libapn","libapn is a header-based C++ library developed to study vectorial Boolean functions, including but not limited to APN functions.",false,"2018-04-18T14:27:38Z","2018-04-18T16:11:05Z","",0,0,"GNU General Public License v3.0",0,"C++"
"parsifal","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/parsifal","Parsifal : an OCaml-based parsing engine",false,"2018-08-27T12:34:56Z","2018-08-27T12:40:25Z",,0,0,,0,
"concerto","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/concerto","Toolset to analyse TLS datasets",false,"2018-08-27T12:41:32Z","2018-08-27T12:44:03Z",,0,0,,0,
"pycrate","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/pycrate","A Python library to ease the development of encoders and decoders for various protocols and file formats; contains ASN.1 and CSN.1 compilers. ",false,"2018-09-17T08:11:37Z","2018-09-20T03:26:09Z","",1,1,,0,
"caradoc","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/caradoc","A PDF parser and validator",false,"2018-09-21T07:32:59Z","2018-10-23T21:37:06Z",,2,0,,0,
"coq-prelude","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/coq-prelude","General-purpose monad typeclass hierarchy for Coq",false,"2018-09-21T15:00:07Z","2018-09-21T15:14:06Z","",0,0,"GNU General Public License v3.0",0,"Coq"
"audit-radius","https://github.com/ANSSI-FR","https://github.com/ANSSI-FR/audit-radius","A RADIUS authentication server audit tool",false,"2018-10-15T14:40:52Z","2018-10-19T15:28:18Z",,1,1,,0,"Python"
