Nom,Organisation,URL,Description,Fork?,Créé,Mis à jour,Homepage,Stars,# forks,Licence,Issues,Langages
"openfisca_data","https://github.com/openfisca","https://github.com/openfisca/openfisca_data",,false,"2013-03-13T21:35:42Z","2013-12-17T13:55:04Z",,0,3,,2,"R"
"ga","https://github.com/openfisca","https://github.com/openfisca/ga","Generational accounting",false,"2013-04-14T15:22:43Z","2015-01-07T09:35:46Z","",0,3,,6,"Python"
"LawToCode","https://github.com/openfisca","https://github.com/openfisca/LawToCode",,false,"2013-10-24T22:38:03Z","2018-03-13T05:37:59Z",,0,1,"GNU Affero General Public License v3.0",0,"JavaScript"
"openfisca-qt","https://github.com/openfisca","https://github.com/openfisca/openfisca-qt","[obsolete] QT GUI for OpenFisca -- a versatile microsimulation free software",false,"2013-12-29T14:44:28Z","2015-01-07T06:15:23Z","http://www.openfisca.fr/",0,18,"GNU Affero General Public License v3.0",11,"Python"
"openfisca-plugin-aggregates","https://github.com/openfisca","https://github.com/openfisca/openfisca-plugin-aggregates","A plugin that adds aggregates handling to OpenFisca",false,"2013-12-29T15:04:37Z","2016-01-11T10:47:23Z",,1,7,"GNU Affero General Public License v3.0",1,"Python"
"openfisca-france","https://github.com/openfisca","https://github.com/openfisca/openfisca-france","French tax and benefit system for OpenFisca",false,"2013-12-29T15:15:09Z","2018-11-14T13:17:23Z","https://fr.openfisca.org/",100,74,,41,"Python"
"openfisca-core","https://github.com/openfisca","https://github.com/openfisca/openfisca-core","OpenFisca core engine. See other repositories for countries-specific code & data.",false,"2013-12-29T15:17:04Z","2018-11-14T13:33:50Z","https://openfisca.org",50,52,,52,"Python"
"openfisca-web-api","https://github.com/openfisca","https://github.com/openfisca/openfisca-web-api","[DEPRECATED] Web API for OpenFisca",false,"2013-12-29T15:25:14Z","2018-05-15T04:55:25Z","https://www.openfisca.fr/",12,11,"GNU Affero General Public License v3.0",0,"Python"
"openfisca-tunisia","https://github.com/openfisca","https://github.com/openfisca/openfisca-tunisia","Tunisian tax and benefit system for OpenFisca",false,"2013-12-29T16:40:51Z","2018-11-13T21:49:51Z","http://www.openfisca.fr/",8,3,"GNU Affero General Public License v3.0",23,"Python"
"openfisca-tunisia-pension","https://github.com/openfisca","https://github.com/openfisca/openfisca-tunisia-pension","Tunisia pension specific module for OpenFisca",false,"2013-12-29T16:48:28Z","2018-10-07T14:18:58Z",,0,0,"GNU Affero General Public License v3.0",1,"Python"
"openfisca-web-ui-legacy","https://github.com/openfisca","https://github.com/openfisca/openfisca-web-ui-legacy","DISCONTINUED! See",false,"2014-01-01T21:41:36Z","2018-03-13T05:39:05Z","https://github.com/openfisca/web-ui",4,8,"GNU Affero General Public License v3.0",8,"JavaScript"
"openfisca-web-site","https://github.com/openfisca","https://github.com/openfisca/openfisca-web-site","[DEPRECATED] OpenFisca web site",false,"2014-02-12T21:02:10Z","2018-04-12T17:40:46Z","https://fr.openfisca.org/",1,9,"GNU Affero General Public License v3.0",2,"Mako"
"openfisca-web-notebook","https://github.com/openfisca","https://github.com/openfisca/openfisca-web-notebook","OpenFisca Jupyter notebook public repository",false,"2014-02-16T22:12:42Z","2016-06-15T09:46:15Z","http://www.openfisca.fr/",1,7,"GNU Affero General Public License v3.0",4,"Jupyter Notebook"
"openfisca-visualizations","https://github.com/openfisca","https://github.com/openfisca/openfisca-visualizations","[obsolete] Visualizations examples for openfisca-web-ui",false,"2014-03-11T10:43:58Z","2015-01-14T16:16:41Z","",0,0,,0,"JavaScript"
"legislation-ipp-to-code","https://github.com/openfisca","https://github.com/openfisca/legislation-ipp-to-code","Convert TaxIPP legislation files to code",false,"2014-03-27T16:04:30Z","2015-03-13T13:44:43Z",,0,3,"GNU Affero General Public License v3.0",1,"Python"
"openfisca-france-data","https://github.com/openfisca","https://github.com/openfisca/openfisca-france-data","France-Data module of OpenFisca",false,"2014-04-02T16:25:09Z","2018-08-30T14:41:31Z","http://www.openfisca.fr/",5,16,"GNU Affero General Public License v3.0",6,"Python"
"openfisca-dataviz-sunburst","https://github.com/openfisca","https://github.com/openfisca/openfisca-dataviz-sunburst","[obsolete] A D3.js-base sunburst dataviz for OpenFisca ",false,"2014-04-15T13:25:18Z","2015-01-14T16:17:45Z","",0,0,"GNU General Public License v3.0",0,"CoffeeScript"
"openfisca-plugin-inequality","https://github.com/openfisca","https://github.com/openfisca/openfisca-plugin-inequality","A plugin that adds inequality diagnostics to OpenFisca",false,"2014-06-13T12:49:13Z","2015-02-04T12:29:19Z",,0,3,"GNU Affero General Public License v3.0",0,"Python"
"openfisca-tunisia-data","https://github.com/openfisca","https://github.com/openfisca/openfisca-tunisia-data",,false,"2014-06-14T18:06:22Z","2015-01-02T07:44:52Z",,0,0,"GNU Affero General Public License v3.0",0,"Python"
"openfisca-survey-manager","https://github.com/openfisca","https://github.com/openfisca/openfisca-survey-manager","A tool for managing survey data",false,"2014-06-19T16:11:09Z","2018-10-18T20:06:40Z",,3,12,"GNU Affero General Public License v3.0",7,"Python"
"openfisca-france-indirect-taxation","https://github.com/openfisca","https://github.com/openfisca/openfisca-france-indirect-taxation","French indirect taxation module for OpenFisca ",false,"2014-11-11T17:14:53Z","2018-07-12T08:06:12Z","http://www.openfisca.fr/",3,12,"GNU Affero General Public License v3.0",22,"Jupyter Notebook"
"communication","https://github.com/openfisca","https://github.com/openfisca/communication","Communication material for the OpenFisca project",false,"2014-11-18T14:21:42Z","2017-03-12T20:51:52Z","https://openfisca.github.io/communication/",1,0,"GNU Affero General Public License v3.0",0,"JavaScript"
"OpenFiscaCore.jl","https://github.com/openfisca","https://github.com/openfisca/OpenFiscaCore.jl","A port of OpenFisca-Core to Julia. This is the core module of OpenFisca, without GUI or country-specific code & data ",false,"2014-11-30T23:05:34Z","2015-04-01T17:08:55Z",,0,0,"Other",0,"Julia"
"trace-tool","https://github.com/openfisca","https://github.com/openfisca/trace-tool","Trace tool for OpenFisca -- a versatile microsimulation free software",false,"2014-12-16T15:49:45Z","2015-11-26T10:25:51Z",,0,0,"GNU Affero General Public License v3.0",2,
"openfisca-france-extension-revenu-de-base","https://github.com/openfisca","https://github.com/openfisca/openfisca-france-extension-revenu-de-base","Réforme du revenu de base pour OpenFisca",false,"2014-12-19T16:59:42Z","2016-05-28T07:19:07Z","",1,1,"GNU Affero General Public License v3.0",0,"Python"
"OpenFiscaFrance.jl","https://github.com/openfisca","https://github.com/openfisca/OpenFiscaFrance.jl","A port of OpenFisca-France to Julia. This is the OpenFisca package containing the formulas and parameters of the french tax-benefit system.",false,"2014-12-23T15:14:19Z","2016-06-15T10:36:20Z",,1,1,"Other",1,"Julia"
"openfisca-parsers","https://github.com/openfisca","https://github.com/openfisca/openfisca-parsers","[DEPRECATED] Lexers, parsers, compilers, etc for OpenFisca source code",false,"2014-12-24T06:36:47Z","2018-04-16T11:49:30Z","",2,4,"GNU Affero General Public License v3.0",0,"Python"
"openfisca-matplotlib","https://github.com/openfisca","https://github.com/openfisca/openfisca-matplotlib",,false,"2015-01-08T15:58:07Z","2018-10-08T11:58:41Z",,0,5,"GNU Affero General Public License v3.0",0,"Python"
"OpenFiscaWebApi.jl","https://github.com/openfisca","https://github.com/openfisca/OpenFiscaWebApi.jl","A port of OpenFisca-Web-API to Julia. This is the web API for OpenFisca",false,"2015-02-13T14:05:22Z","2015-05-07T14:30:57Z",,0,0,"Other",0,"Julia"
"openfisca-spreadsheet","https://github.com/openfisca","https://github.com/openfisca/openfisca-spreadsheet","Spreadsheet templates to work with OpenFisca Web API",false,"2015-07-15T15:29:16Z","2015-07-15T15:29:16Z",,0,0,"MIT License",0,
"openfisca-graphql-server","https://github.com/openfisca","https://github.com/openfisca/openfisca-graphql-server","Experimental GraphQL server built upon OpenFisca Web API",false,"2015-07-16T16:52:42Z","2015-07-16T16:54:38Z",,0,0,"GNU Affero General Public License v3.0",0,"JavaScript"
"legislation-explorer","https://github.com/openfisca","https://github.com/openfisca/legislation-explorer","Explore legislation formulas and parameters.",false,"2015-09-07T13:52:48Z","2018-10-16T17:33:09Z","https://fr.openfisca.org/legislation/",11,6,"GNU Affero General Public License v3.0",15,"JavaScript"
"openfisca-doc","https://github.com/openfisca","https://github.com/openfisca/openfisca-doc","User guide of OpenFisca",false,"2015-09-10T14:03:10Z","2018-11-12T16:03:30Z","https://openfisca.org/doc",9,14,"GNU Affero General Public License v3.0",14,"Python"
